First Name,Last Name,Email Address,Company,Registration Type,Registration Status
Maria,Santos,maria.santos@tamu.edu,Texas A&M University,Judge,Confirmed
James,Wilson,jwilson@cu.boulder.edu,University of Colorado Boulder,Judge,Confirmed
Sarah,Chen,schen@nd.edu,University of Notre Dame,Student Competitor,Confirmed
Jennifer,Lopez-Garcia,jlopez@nd.edu,University of Notre Dame,Student Competitor,Confirmed
Robert,Kim,rkim@outlook.com,Texas A&M University,Faculty Advisor,Confirmed
Amanda,Foster,afoster@tamu.edu,Texas A&M University,Judge,Confirmed
David,Park,dpark@yahoo.com,University of Colorado Boulder,Judge,Confirmed
Kevin,O'Brien,kobrien@udel.edu,University of Delaware,Student Competitor,Confirmed
Rachel,Adams,radams@nd.edu,University of Notre Dame,Faculty Advisor,Confirmed
Ben,Taylor,btaylor@cu.boulder.edu,University of Colorado Boulder,Student Competitor,Confirmed
Lisa,Thompson,lisa.t@udel.edu,University of Delaware,Guest,Confirmed
Mark,Johnson,mjohnson@csu.edu,Colorado State University,Guest,Confirmed
Sandra,Lee,slee@tamu.edu,Texas A&M University,Judge,Confirmed
